,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
channel.10_1,-13.1541560853433,-7.40634026198448,0.0482998032020346,-1.46645982943804,0.740427780630497,-1.98916672966904,1.21362355163902,-0.648966706739363,-0.0172424230366273,-0.398374731439108,0.767754253089653,-1.8321184453961,-3.96455611437031,-0.526256814820583,8.74474104239908e-15
channel.11_1,8.68297988454334,-4.06968382727414,-5.90826204124862,0.19727145627823,-0.104755932023735,2.79308228000091,5.84414615182479,-4.13678755241104,-0.178429425825954,1.17725209220517,-0.80906250502818,-0.0989531668045335,0.227127259040086,0.236495161454852,7.45757622322429e-15
channel.12_1,10.6100650918077,-7.14680024650241,-6.27233080598822,-0.869309698558192,-1.52143800074646,-4.32932166350914,-3.80974255324983,0.452796249845285,-4.00833894903576,-0.916342530629311,-1.00945645759361,0.0196673531674614,0.231183628694988,-0.181724520743641,7.78977576887385e-15
channel.13_1,6.8720787900704,-4.50738910720531,-2.73400407310892,-1.87272991707751,-4.37194106243982,-0.226742713728632,0.307974852078487,3.44267632495105,5.46059161064608,0.106918420049373,2.45434587615484,0.58915521498528,0.0840077710263035,-0.0887155143591914,7.6478537044955e-15
channel.14_1,-2.84230051780041,14.1183880405599,-1.21397393206867,0.77123888307369,-0.449494823925466,-1.2667304785489,0.517009076185202,-0.534989009656061,-1.5130307860993,-0.271863824551218,3.83591233896809,-3.46799092611299,1.47116441212089,0.0921594200072127,6.9935376934005e-15
channel.15_1,-4.33877918212301,13.3022075551968,-1.10025565389418,-1.02536496601438,-0.046745983307273,-0.761795472819917,0.23033003564022,-0.544920845813173,-1.51907456904094,1.0508691611062,1.44275073203808,4.88445002979795,-1.1427045817821,-0.230904259462189,7.71366477636537e-15
channel.16_1,-2.07030905259968,14.6306511985828,-1.65015207478709,-0.857177499418635,-0.567982329509278,-1.22780216088857,-0.790732036650408,0.106743637584387,3.07059529579979,-0.515045852664241,-5.01021280776333,-1.21351737971603,-0.332584509189957,0.0461782080269807,7.55862386569994e-15
channel.2_1,0.249024246385255,-1.36505342047088,4.54482117765307,3.5773118724262,-4.6639017001206,2.22770612457466,-0.498652854098758,-2.26792755121584,-0.35385139763924,-5.11208233291034,-0.0440494628073719,0.782308569714602,-0.119397397702376,0.141832587399937,7.04254363159684e-15
channel.3_1,-3.19261778751062,-0.191060464080347,-4.41030287691527,3.30774804222805,4.15240311430792,6.5406594806,-1.8717421380146,3.7843706739085,-0.889686502806358,-0.789179047088893,-0.0295946487856257,-0.1785981702929,-0.458397117316463,0.00261563985858392,8.10983225019157e-15
channel.4_1,0.228678568638279,-1.52869605808565,4.76979489778411,1.8428179334501,-5.08711520616615,2.47875772124572,-1.79507004488874,0.365027839344473,-1.79761009078075,4.99088822890484,-0.916911384731061,-0.881389359524455,-0.309934783754354,-0.14146038277377,7.44738472280293e-15
channel.5_1,10.799549433982,0.875677932870209,6.04550058296721,-8.46050589044442,2.21226933551094,1.97057230590608,1.3513689729603,1.59383854262912,-1.78379430924759,-1.07218296014749,-0.31128905112088,-0.400826013748808,0.13190593127578,0.0109141516856774,7.36487354934499e-15
channel.6_1,9.5313403197387,-1.97214006460766,2.53735488610813,1.10444440104662,5.02485192468477,-0.310498603038109,-4.65561194697418,-4.11484814651918,3.0887860452118,1.05582662359314,1.24319706998676,0.0657781041394272,-0.168989627876619,0.078788025376254,7.42808592413269e-15
channel.7_1,7.62123580903774,-1.42466696194407,4.40192840698828,6.40122206695724,2.98446332195578,-4.34722339229934,3.89688495189881,2.97757877943462,-0.188695193626002,0.240039810017548,-0.637965739899314,0.432834897138553,0.171174944136368,-0.0562253115694152,6.41327269068626e-15
channel.8_1,-14.8038400026439,-6.78843307386759,0.53380567373566,-1.22097307154652,1.07303242413094,-0.288398479205358,0.243808081263217,-0.652367281635562,0.572150901427233,0.0366810115435668,-0.678865956388312,0.648184170222116,2.90142904819943,-2.01305515090053,6.53296861052866e-15
channel.9_1,-14.1929495161825,-6.52666124118724,0.407776029572451,-1.42953378296242,0.625927137017924,-1.26309821862034,-0.18359409961353,0.177775046292776,0.0576297940536234,0.416595932010747,-0.296552256119739,0.651015122430417,1.27857113749833,2.62935876081982,8.2347323404619e-15
